Data,PIB - importações - bens e serviços - índice real encadeado dessazonalizado (média 1995 = 100) - - - Instituto Brasileiro de Geografia e Estatística- Sistema de Contas Nacionais Trimestrais (IBGE/SCN Trimestral) - SCN104_PIBMBSZAS104,
1996 T1,92.663921935293,
1996 T2,100.179534308906,
1996 T3,107.633585550544,
1996 T4,119.299807265175,
1997 T1,118.095277778929,
1997 T2,123.861775981584,
1997 T3,124.864778271668,
1997 T4,117.350296687983,
1998 T1,126.729756373074,
1998 T2,120.799630178046,
1998 T3,122.497114314437,
1998 T4,115.443998306907,
1999 T1,102.953597955249,
1999 T2,102.606905628757,
1999 T3,99.6806306486077,
1999 T4,106.420749726971,
2000 T1,105.834858233519,
2000 T2,109.712699014607,
2000 T3,117.924269485858,
2000 T4,121.404017695429,
2001 T1,129.810055737443,
2001 T2,123.529064539864,
2001 T3,112.240804562204,
2001 T4,107.138038284501,
2002 T1,104.543202064007,
2002 T2,102.839363788423,
2002 T3,102.984908480278,
2002 T4,98.1442729637471,
2003 T1,98.7996803760741,
2003 T2,98.6904875213883,
2003 T3,99.1771518607933,
2003 T4,109.171768287736,
2004 T1,108.401464970402,
2004 T2,110.978068911782,
2004 T3,111.998228297754,
2004 T4,116.068969482771,
2005 T1,118.007617022772,
2005 T2,120.706470839148,
2005 T3,120.126249665181,
2005 T4,121.89976796547,
2006 T1,135.752704528035,
2006 T2,137.071564232618,
2006 T3,143.926227908464,
2006 T4,148.696165624045,
2007 T1,162.644142172217,
2007 T2,161.888939116622,
2007 T3,171.01332585848,
2007 T4,180.330386594293,
2008 T1,188.70394936207,
2008 T2,200.37566715104,
2008 T3,207.508275280395,
2008 T4,194.579906079377,
2009 T1,164.989834633346,
2009 T2,174.796221273605,
2009 T3,183.979652216816,
2009 T4,206.309448935878,
2010 T1,229.952115800614,
2010 T2,236.667139874594,
2010 T3,254.212206770453,
2010 T4,256.465975631113,
2011 T1,256.313378551902,
2011 T2,268.874240297824,
2011 T3,270.793885115917,
2011 T4,274.813416742992,
2012 T1,271.648232097439,
2012 T2,274.708666793324,
2012 T3,257.489001011684,
2012 T4,280.676662416561,
2013 T1,288.014280911257,
2013 T2,292.984058905408,
2013 T3,287.081019549854,
2013 T4,288.525339966067,
2014 T1,285.223492591843,
2014 T2,281.647810568943,
2014 T3,289.27835666575,
2014 T4,273.890506949083,
2015 T1,267.355292127703,
2015 T2,252.872318882744,
2015 T3,231.019801718542,
2015 T4,219.940306603736,
2016 T1,207.781623937331,
2016 T2,228.337512228073,
2016 T3,214.06871769094,
2016 T4,218.662517581406,
2017 T1,229.945854834862,
2017 T2,227.884861520323,
2017 T3,229.405079924788,
2017 T4,239.640801204583,
2018 T1,245.404632500592,
2018 T2,242.427400899342,
2018 T3,260.023081002272,
2018 T4,249.99011093431,
2019 T1,237.862295005986,
2019 T2,255.557642432698,
2019 T3,266.60039644898,
2019 T4,251.271267855024,
2020 T1,251.90797535736,
2020 T2,218.305002644269,
2020 T3,201.60568903818,
2020 T4,244.832606720681,
2021 T1,274.289279656184,
2021 T2,265.102629912043,
2021 T3,248.722104162879,
2021 T4,255.163445184117,
2022 T1,247.166881810051,
2022 T2,262.581978621617,
2022 T3,276.632578865537,
2022 T4,264.748999490494,
2023 T1,252.784248856669,
2023 T2,264.239752080755,
2023 T3,259.2060533009,
2023 T4,262.873848247994,
2024 T1,280.081163837627,
